,name,region,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
62,Jamaica,Americas,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
63,Japan,Asia,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
64,Jordan,Asia,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
65,Kazakhstan,Asia,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
66,Kenya,Africa,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
67,South Korea,Asia,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
68,Kuwait,Asia,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
69,Kyrgyzstan,Asia,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
70,Laos,Asia,105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
71,Latvia,Europe,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
72,Lebanon,Asia,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
73,Lesotho,Africa,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
74,Liberia,Africa,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
75,Libya,Africa,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
76,Lithuania,Europe,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
77,Luxembourg,Europe,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
78,Madagascar,Africa,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
79,Malawi,Africa,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
80,Malaysia,Asia,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
81,Mali,Africa,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
